Expiry,Date,straddle_Open,straddle_High,straddle_Low,straddle_Close,straddle_Intraday,index_Tonight,index_Open,index_High,index_Low,index_Close,index_Intraday,index_Gap
14/03/2024,14/03/2024,144.60,156.80,2.70,3.40,141.20,0,21956.00,22201.90,21928.65,22144.95,273.25,0
07/03/2024,07/03/2024,118.00,118.00,4.65,6.55,111.45,0,22498.05,22519.60,22439.20,22483.60,80.40,0
29/02/2024,29/02/2024,153.70,169.60,13.80,16.25,137.45,0,21922.45,22055.70,21865.55,22050.70,190.15,0
22/02/2024,22/02/2024,124.65,150.55,13.95,17.90,106.75,0,22051.10,22243.85,21881.70,22225.55,362.15,0
15/02/2024,15/02/2024,122.05,126.00,8.40,10.75,111.30,0,21894.65,21952.00,21802.20,21927.95,149.80,0
14/03/2024,13/03/2024,187.65,224.55,151.35,151.35,36.30,6.75,22403.05,22411.65,21909.55,21984.20,502.10,28.20
07/03/2024,06/03/2024,185.35,190.60,123.10,125.55,59.80,7.55,22304.55,22486.55,22227.55,22484.55,259.00,-13.50
29/02/2024,28/02/2024,199.60,214.70,167.65,168.95,30.65,15.25,22213.55,22227.95,21923.70,21929.05,304.25,6.60
22/02/2024,21/02/2024,212.75,212.75,144.75,149.95,62.80,25.30,22202.00,22247.45,22006.00,22023.55,241.45,-27.55
15/02/2024,14/02/2024,209.30,209.40,140.50,140.50,68.80,18.45,21560.65,21865.60,21533.20,21849.90,332.40,-44.75
14/03/2024,12/03/2024,220.70,233.15,195.25,198.55,22.15,10.90,22341.65,22450.70,22261.40,22335.65,189.30,-67.40
07/03/2024,05/03/2024,237.55,237.55,183.40,183.40,54.15,-1.95,22338.65,22412.30,22270.00,22345.05,142.30,40.50
29/02/2024,27/02/2024,256.20,262.70,209.40,209.40,46.80,9.80,22104.30,22214.55,22090.30,22187.45,124.25,-26.10
22/02/2024,20/02/2024,259.30,259.30,213.50,216.40,42.90,3.65,22084.95,22214.45,22057.45,22204.65,157.00,2.65
15/02/2024,13/02/2024,271.55,289.60,215.15,218.00,53.55,8.70,21656.00,21764.85,21550.55,21723.90,214.30,163.25
14/03/2024,11/03/2024,260.85,260.85,230.55,230.55,30.30,9.85,22486.95,22511.00,22311.20,22325.40,199.80,-16.25
07/03/2024,04/03/2024,279.10,282.55,241.60,244.20,34.90,6.65,22399.80,22433.50,22359.60,22397.75,73.90,59.10
29/02/2024,26/02/2024,284.30,295.45,261.95,262.75,21.55,6.55,22173.85,22198.20,22077.15,22118.95,121.05,14.65
22/02/2024,19/02/2024,290.30,292.60,261.35,264.70,25.60,5.40,22077.05,22185.35,22024.40,22118.65,160.95,33.70
15/02/2024,12/02/2024,295.00,307.00,267.60,281.90,13.10,10.35,21791.90,21823.95,21583.70,21620.35,240.25,-35.65
14/03/2024,07/03/2024,314.10,314.10,247.95,254.45,59.65,-6.40,22498.05,22519.60,22439.20,22483.60,80.40,-3.35
07/03/2024,01/03/2024,324.10,340.25,304.25,304.25,19.85,25.15,22119.25,22352.20,22113.35,22323.05,238.85,-76.75
29/02/2024,23/02/2024,327.30,329.65,287.60,287.60,39.70,3.30,22250.95,22280.15,22187.55,22195.90,92.60,22.05
22/02/2024,16/02/2024,313.90,328.25,297.55,303.95,9.95,13.65,22004.40,22066.60,21971.10,22037.85,95.50,-39.20
15/02/2024,09/02/2024,355.25,366.85,297.90,297.90,57.35,2.90,21705.35,21799.65,21643.90,21775.75,155.75,-16.15
08/02/2024,06/02/2024,277.30,281.85,232.20,232.20,45.10,18.90,21798.55,21946.85,21748.50,21938.25,198.35,-97.85
01/02/2024,30/01/2024,335.55,366.75,287.75,287.75,47.80,-9.75,21792.55,21805.50,21503.15,21527.90,302.35,54.15
25/01/2024,23/01/2024,206.15,272.05,205.95,219.40,-13.25,-7.00,21736.90,21743.10,21196.75,21246.55,546.35,30.35
18/01/2024,16/01/2024,207.30,210.30,175.15,175.70,31.60,-16.95,22062.20,22120.95,21978.45,22030.00,142.50,182.45
11/01/2024,09/01/2024,171.80,183.05,160.00,161.55,10.25,0.70,21648.70,21723.20,21522.30,21551.85,200.90,16.65
